velocity,ultrasonic,tof,rate_of_change,label
0.48,63.2,94,-0.02,0
0.57,62.58,93,-0.124,0
0.6,63.21,94,0.126,0
0.61,62.96,91,-0.05,0
0.62,62.94,92,-0.004,0
0.65,62.44,89,-0.1,0
0.67,62.25,93,-0.038,0
0.69,62.1,90,-0.03,0
0.72,62.36,93,0.052,0
0.76,61.86,93,-0.1,0
0.78,62.34,90,0.096,0
0.72,61.88,90,-0.092,0
0.68,61.83,91,-0.01,0
0.65,61.69,91,-0.028,0
0.63,61.53,89,-0.032,0
0.61,61.71,91,0.036,0
0.6,61.55,92,-0.032,0
0.57,61.33,90,-0.044,0
0.54,61.16,89,-0.034,0
0.48,61.16,89,0,0
0.46,61.17,95,0.002,0
0.45,60.99,90,-0.036,0
0.43,61.4,90,0.082,0
0.43,61.64,90,0.048,0
0.43,60.75,89,-0.178,0
0.44,60.64,95,-0.022,0
0.43,60.45,95,-0.038,0
0.42,60.03,95,-0.084,0
0.41,60.35,97,0.064,0
0.39,60.69,99,0.068,0
0.36,60.2,93,-0.098,0
0.33,59.77,97,-0.086,0
0.37,60.06,90,0.058,0
0.38,61.14,93,0.216,0
0.41,59.37,92,-0.354,0
0.42,59.42,91,0.01,0
0.44,60.27,90,0.17,0
0.46,58.82,92,-0.29,0
0.5,58.55,97,-0.054,0
0.54,58.28,101,-0.054,0
0.55,58.14,98,-0.028,0
0.58,57.95,98,-0.038,0
0.57,58.22,98,0.054,0
0.58,57.93,90,-0.058,0
0.56,57.3,88,-0.126,0
0.52,57.25,89,-0.01,0
0.49,57.06,88,-0.038,0
0.47,57.09,88,0.006,0
0.41,56.99,94,-0.02,0
0.41,57.86,89,0.174,0
0.41,58.07,89,0.042,0
0.38,58.16,92,0.018,0
0.33,58.04,92,-0.024,0
0.3,58.1,92,0.012,0
0.28,58.17,92,0.014,0
0.29,58.02,94,-0.03,0
0.32,57.62,95,-0.08,0
0.33,57.93,97,0.062,0
0.34,58.31,96,0.076,0
0.33,57.86,98,-0.09,0
0.35,57.4,96,-0.092,0
0.34,57.25,95,-0.03,0
0.37,56.97,94,-0.056,0
0.37,56.53,92,-0.088,0
0.35,56.99,94,0.092,0
0.36,56.85,98,-0.028,0
0.33,56.97,95,0.024,0
0.34,56.92,95,-0.01,0
0.34,57.28,90,0.072,0
0.35,56.9,90,-0.076,0
0.35,56.6,90,-0.06,0
0.36,56.54,93,-0.012,0
0.4,56.32,91,-0.044,0
0.44,56.78,92,0.092,0
0.48,56.63,93,-0.03,0
0.49,56.22,91,-0.082,0
0.46,56.49,90,0.054,0
0.45,56.42,92,-0.014,0
0.46,56.47,92,0.01,0
